octave,tone,time
4.0,C,0.125
3.0,A,0.125
4.0,D,0.125
4.0,C,0.125
4.0,C,0.125
3.0,A,0.125
4.0,D,0.125
4.0,C,0.125
4.0,C,0.125
4.0,D,0.125
4.0,E,0.125
4.0,F,0.125
4.0,F,0.125
4.0,E,0.125
4.0,D,0.125
4.0,C,0.125
4.0,C,0.125
3.0,A,0.125
4.0,D,0.125
4.0,C,0.125
4.0,C,0.125
3.0,A,0.125
4.0,D,0.125
4.0,C,0.125
4.0,F,0.125
4.0,E,0.125
4.0,D,0.125
4.0,C,0.125
4.0,C,0.125
4.0,D,0.125
4.0,E,0.125
4.0,F,0.125
